"Name;";"PosX;";"PosY;";"Time;"
6;-0,11;0,01;236,418
6;-0,11;0,01;236,9197
6;-0,12;0,03;237,4209
6;-0,13;0,04;237,9215
6;-0,13;0,03;238,4227
6;-0,12;0,03;238,9237
6;-0,12;0,03;239,4254
6;-0,13;0,02;239,9262
6;-0,13;0,03;240,4271
6;-0,13;0,04;240,9288
6;-0,13;0,05;241,4294
6;-0,11;0,05;241,9296
6;-0,11;0,05;242,431
6;-0,11;0,07;242,9339
6;-0,09999999;0,08;243,4346
6;-0,09;0,09;243,9365
6;-0,09999999;0,11;244,4378
6;-0,09999999;0,12;244,9388
6;-0,08;0,12;245,4396
6;-0,09;0,12;245,9411
6;-0,09999999;0,09999999;246,4418
6;-0,09999999;0,09999999;246,9436
6;-0,09999999;0,09999999;247,4447
6;-0,09999999;0,09999999;247,9462
6;-0,09999999;0,09999999;248,4473
6;-0,09999999;0,09999999;248,9498
6;-0,09999999;0,09999999;249,4511
6;-0,09999999;0,09999999;249,9511
6;-0,09999999;0,09999999;250,4516
6;-0,09999999;0,09999999;250,9527
6;-0,09999999;0,09999999;251,4534
6;-0,11;0,08;251,9561
6;-0,11;0,07;252,4563
6;-0,11;0,05;252,9572
6;-0,11;0,05;253,4582
6;-0,11;0,04;253,9635
6;-0,11;0,03;254,4748
6;-0,11;0,03;254,9758
6;-0,11;0,02;255,4777
6;-0,11;0,02;255,9785
6;-0,11;0,02;256,4807
6;-0,12;0,02;256,9818
6;-0,12;0,02;257,483
6;-0,12;0,01;257,985
6;-0,11;0,01;258,4986
6;-0,11;0,03;259,0003
6;-0,09999999;0,05;259,5013
6;-0,09999999;0,04;260,0025
6;-0,09999999;0,02;260,504
6;-0,09999999;0,02;261,0052
6;-0,09999999;0,04;261,5195
6;-0,11;0,07;262,0206
6;-0,09999999;0,08;262,5215
6;-0,09999999;0,09;263,0245
6;-0,09;0,09;263,5391
6;-0,08;0,09;264,0397
6;-0,08;0,09999999;264,54
6;-0,08;0,11;265,0414
6;-0,08;0,11;265,5451
6;-0,07;0,11;266,0579
6;-0,07;0,11;266,5593
6;-0,05;0,11;267,061
6;-0,04;0,09999999;267,5616
6;-0,03;0,09999999;268,0681
6;-0,04;0,11;268,5768
6;-0,05;0,13;269,0789
6;-0,04;0,12;269,58
6;-0,04;0,11;270,0811
6;-0,03;0,12;270,5815
6;-0,02;0,12;271,0833
6;-0,02;0,11;271,5842
6;-0,02;0,11;272,0852
6;-0,02;0,11;272,5858
6;-0,05;0,13;273,088
6;-0,05;0,13;273,5902
6;-0,04;0,13;274,1039
6;-0,02;0,11;274,6063
6;-0,02;0,11;275,1069
6;-0,01;0,11;275,6113
6;-0,02;0,11;276,1231
6;-0,04;0,12;276,6243
6;-0,04;0,09999999;277,1251
6;-0,04;0,09999999;277,6253
6;-0,04;0,11;278,1402
6;-0,05;0,13;278,6411
6;-0,05;0,15;279,1417
6;-0,06;0,16;279,6434
6;-0,08;0,17;280,1449
6;-0,08;0,17;280,6455
6;-0,09;0,18;281,1471
6;-0,09;0,18;281,649
6;-0,09;0,18;282,1499
6;-0,09;0,18;282,6499
6;-0,08;0,18;283,1512
6;-0,08;0,19;283,653
6;-0,07;0,19;284,1547
6;-0,07;0,21;284,6557
6;-0,07;0,21;285,1575
6;-0,06;0,2;285,6584
6;-0,06;0,19;286,1591
6;-0,07;0,16;286,6601
6;-0,06;0,15;287,1621
6;-0,06;0,14;287,6626
6;-0,07;0,14;288,1655
6;-0,07;0,13;288,6663
6;-0,06;0,12;289,1677
6;-0,07;0,12;289,6681
6;-0,08;0,11;290,1697
6;-0,09;0,09999999;290,6845
6;-0,09999999;0,09999999;291,1866
6;-0,09999999;0,09999999;291,7012
6;-0,09999999;0,09999999;292,2025
6;-0,09999999;0,11;292,7029
6;-0,09999999;0,11;293,205
6;-0,09999999;0,11;293,7054
6;-0,09;0,09999999;294,2204
6;-0,07;0,09;294,7219
6;-0,06;0,09;295,2233
6;-0,07;0,09;295,7244
6;-0,06;0,09;296,2263
6;-0,05;0,08;296,7268
6;-0,04;0,08;297,2283
6;-0,02;0,08;297,7285
6;0;0,07;298,2305
6;0,02;0,08;298,7313
6;0,05;0,08;299,2337
6;0,06;0,08;299,7476
6;0,06;0,09;300,2494
6;0,07;0,09999999;300,75
6;0,09;0,09999999;301,2513
6;0,09;0,11;301,753
6;0,09;0,13;302,2542
6;0,09999999;0,13;302,7547
6;0,09;0,13;303,2575
6;0,09;0,12;303,7598
6;0,09999999;0,12;304,2742
6;0,11;0,12;304,7751
6;0,11;0,13;305,2765
6;0,11;0,13;305,7776
6;0,11;0,13;306,2789
6;0,11;0,13;306,7808
6;0,11;0,13;307,2809
6;0,11;0,13;307,7823
6;0,11;0,13;308,2834
6;0,11;0,12;308,7837
6;0,11;0,12;309,2982
6;0,12;0,12;309,8011
6;0,13;0,09999999;310,3142
6;0,13;0,09;310,816
6;0,13;0,09;311,3183
6;0,13;0,09999999;311,8189
6;0,13;0,09;312,322
6;0,13;0,08;312,823
6;0,13;0,08;313,3245
6;0,13;0,08;313,8382
6;0,13;0,08;314,3396
6;0,13;0,08;314,8419
6;0,13;0,08;315,3428
6;0,13;0,08;315,844
6;0,13;0,08;316,3452
6;0,13;0,08;316,8456
6;0,13;0,08;317,3458
6;0,13;0,08;317,8463
6;0,13;0,08;318,3492
6;0,13;0,08;318,8494
6;0,13;0,08;319,3508
6;0,13;0,09999999;319,8537
6;0,13;0,09;320,366
6;0,13;0,08;320,868
6;0,13;0,07;321,3682
6;0,13;0,07;321,8721
6;0,13;0,08;322,3853
6;0,13;0,08;322,8874
6;0,13;0,08;323,3888
6;0,13;0,08;323,9032
6;0,13;0,08;324,4044
6;0,13;0,08;324,9052
6;0,13;0,08;325,4062
6;0,13;0,08;325,9074
6;0,13;0,08;326,4078
6;0,12;0,08;326,9086
6;0,12;0,08;327,4102
6;0,11;0,08;327,9108
6;0,09999999;0,08;328,4117
6;0,08;0,09;328,9138
6;0,07;0,09;329,4159
6;0,07;0,08;329,9177
6;0,07;0,08;330,4202
6;0,07;0,08;330,9208
6;0,07;0,08;331,4211
6;0,07;0,07;331,9229
6;0,07;0,05;332,4233
6;0,06;0,03;332,9242
6;0,07;0;333,4249
6;0,06;-0,02;333,9264
6;0,07;-0,05;334,4279
6;0,07;-0,08;334,929
6;0,07;-0,09;335,4294
6;0,07;-0,11;335,9323
6;0,07;-0,13;336,4351
6;0,06;-0,14;336,9478
6;0,06;-0,15;337,449
6;0,07;-0,14;337,949
6;0,08;-0,14;338,4502
6;0,08;-0,14;338,9508
6;0,08;-0,14;339,4515
6;0,07;-0,14;339,9534
6;0,08;-0,14;340,4559
6;0,08;-0,14;340,9566
6;0,07;-0,15;341,4583
6;0,07;-0,15;341,9583
6;0,07;-0,15;342,4596
6;0,07;-0,15;342,9612
6;0,07;-0,15;343,462
6;0,07;-0,15;343,9638
6;0,07;-0,15;344,4645
6;0,06;-0,14;344,9648
6;0,05;-0,13;345,4664
6;0,06;-0,14;345,9667
6;0,06;-0,14;346,469
6;0,07;-0,14;346,9698
6;0,07;-0,14;347,4732
6;0,07;-0,14;347,9755
6;0,07;-0,14;348,4759
6;0,07;-0,14;348,9771
6;0,07;-0,14;349,4783
6;0,07;-0,14;349,9796
6;0,07;-0,14;350,4803
6;0,07;-0,14;350,9815
6;0,07;-0,14;351,482
6;0,07;-0,14;351,9838
6;0,07;-0,14;352,4847
6;0,07;-0,14;352,9861
6;0,07;-0,14;353,497
6;0,07;-0,14;354,0028
6;0,07;-0,14;354,504
6;0,07;-0,14;355,0055
6;0,06;-0,14;355,5063
6;0,06;-0,14;356,0197
6;0,06;-0,14;356,5226
6;0,08;-0,15;357,024
6;0,08;-0,16;357,525
6;0,07;-0,15;358,0262
6;0,05;-0,16;358,5264
6;0,03;-0,16;359,0268
6;0,04;-0,15;359,5284
6;0,03;-0,15;360,0295
6;0,03;-0,15;360,5307
6;0,03;-0,14;361,0339
6;0,03;-0,14;361,5355
6;0,03;-0,14;362,0364
6;0,03;-0,14;362,5375
6;0,03;-0,14;363,0397
6;0,03;-0,14;363,54
6;0,04;-0,14;364,0403
6;0,04;-0,13;364,5424
6;0,05;-0,12;365,0427
6;0,05;-0,11;365,5448
6;0,05;-0,09999999;366,0465
6;0,04;-0,08;366,5492
6;0,04;-0,06;367,0643
6;0,02;-0,04;367,5655
6;0,01;-0,03;368,0665
6;0,01;-0,02;368,5677
6;0;-0,02;369,0697
6;0;-0,01;369,5706
6;0;-0,01;370,0811
